MyUnknownColumn,company_name,job_title,min_experience,avg_salary,min_salary,max_salary,num_of_salaries
501,Yodlee,"Data Analyst",1,5.5L,3.9L,8.6L,35
502,ABC,"Data Analyst",1,9.6L,3.0L,24.0L,35
503,JLL,"Data Analyst",1,5.4L,3.5L,9.2L,35
505,ZS,"Data Analyst",1,10.6L,7.0L,16.0L,35
506,Uber,"Data Analyst",1,13.0L,6.5L,30.0L,35
507,Numeratr,"Data Analyst",0,3.0L,2.0L,4.4L,35
508,"Yukthi Datasoft","Data Analyst",1,2.1L,1.5L,2.9L,34
509,"Infosys BPM","Data Analyst",1,3.8L,2.1L,7.8L,34
510,"Hexaware Technologies","Data Analyst",1,6.4L,0.2L,14.0L,33
511,"Ganit Business Solutions","Data Analyst",0,6.0L,6.0L,6.0L,33
512,"Fractal Analytics","Data Analyst",1,9.9L,4.9L,17.5L,33
513,"CAMP Systems","Data Analyst",1,3.8L,3.0L,4.6L,32
514,"Indium Software","Data Analyst",0,7.0L,4.0L,11.0L,32
515,"Data Gyan","Data Analyst",0,1.8L,1.5L,2.0L,32
516,Randstad,"Data Analyst",1,4.2L,2.5L,8.0L,31
517,Epsilon,"Data Analyst",1,9.9L,5.5L,16.1L,31
518,N+A,"Data Analyst",0,3.7L,2.1L,6.0L,31
519,"The Smart Cube","Data Analyst",0,7.7L,6.3L,9.0L,31
520,"Dataction Analytics","Data Analyst",0,2.6L,1.9L,3.5L,31
521,"TSWRDC WOMEN'S DEGREE COLLEGE","Data Analyst",0,2.5L,2.0L,3.5L,31
522,LiquidHub,"Data Analyst",0,2.6L,1.4L,5.0L,30
523,"Sutherland Global Services","Data Analyst",1,4.8L,2.8L,7.3L,30
524,ValueLabs,"Data Analyst",1,5.1L,2.4L,13.8L,30
525,"HCL Technologies BPO Services","Data Analyst",1,2.9L,1.9L,5.0L,30
526,HUDL,"Data Analyst",0,2.9L,2.0L,3.8L,30
527,"Mercedes-Benz Research & Development India","Data Analyst",1,10.2L,7.5L,15.0L,30
528,"Whitehat jr","Data Analyst",1,5.9L,4.3L,8.0L,30
529,"Caterpillar Inc","Data Analyst",1,6.2L,3.6L,10.5L,29
530,"General Mills","Data Analyst",0,7.0L,5.3L,9.2L,29
531,BYJU'S,"Data Analyst",1,7.0L,5.0L,15.4L,29
532,"Hinduja Global Solutions","Data Analyst",1,3.7L,2.0L,6.5L,29
533,Mercer,"Data Analyst",0,4.8L,2.3L,8.5L,29
534,"Bridgei2i Analytics Solutions","Data Analyst",0,5.3L,4.5L,7.8L,29
535,Annalect,"Data Analyst",0,5.6L,3.6L,7.5L,29
536,Verizon,"Data Analyst",1,11.4L,6.4L,17.8L,28
537,"McKinsey & Company","Data Analyst",1,15.3L,9.0L,20.0L,28
538,"ITC Infotech India","Data Analyst",0,7.9L,3.7L,16.0L,28
539,"Vaco Binary Semantics","Data Analyst",0,3.7L,2.4L,6.0L,28
540,"FedEx Express","Data Analyst",0,7.4L,3.3L,12.0L,28
541,"Galytix Analytics","Data Analyst",0,6.0L,6.0L,6.0L,28
542,VeeTechnologies,"Data Analyst",1,1.9L,1.2L,2.4L,28
543,"APA Engineering","Data Analyst",0,2.0L,1.5L,3.1L,27
544,Tesco,"Data Analyst",1,5.5L,3.9L,8.9L,27
545,UBS,"Data Analyst",1,9.4L,6.0L,15.5L,27
547,"Reliance Industries","Data Analyst",1,6.3L,2.2L,9.0L,26
548,Collegedunia,"Data Analyst",1,4.0L,3.0L,5.4L,26
549,"Thomson Reuters","Data Analyst",1,4.1L,2.1L,6.9L,26
550,"Tata Communications","Data Analyst",0,3.9L,2.1L,5.1L,26
551,Cerner,"Data Analyst",1,7.3L,5.2L,10.5L,26
552,"Sandcube Analytics","Data Analyst",0,2.3L,1.1L,3.6L,26
554,"Stats Systems India","Data Analyst",0,2.1L,1.5L,3.1L,26
555,"Objectways Technologies","Data Analyst",0,1.5L,1.2L,2.0L,26
556,Target,"Data Analyst",1,8.8L,2.9L,13.0L,25
557,PayPal,"Data Analyst",1,17.2L,8.0L,30.0L,25
558,"NISC Export Services","Data Analyst",1,3.2L,2.3L,5.0L,25
560,Hive,"Data Analyst",0,4.2L,3.5L,5.8L,25
562,"Pacecom Technologies","Data Analyst",0,2.1L,2.0L,2.6L,25
